,heading,content,posted by
0,British Royal Offers To Sell Access To Vladimir Putin: Report,"Queen Elizabeth's cousin, Prince Michael of Kent, has been caught offering investors access to the Kremlin in exchange for personal gain, according to a Sunday Times and Channel 4 investigation.","Agence France-Presse   | Sunday May 09, 2021, London, United Kingdom                                                        
                                                        "
1,"Putin On WWII Victory Day Says Will ""Firmly"" Defend Russian Interests","President Vladimir Putin on Sunday vowed that Russia will ""firmly"" defend national interests and denounced the return of ""Russophobia"", as the country marked the 76th anniversary of victory in World War II.","Agence France-Presse   | Sunday May 09, 2021                                                        
                                                        "
2,"On ""Saturday Night Live"", Elon Musk Reveals He Has Asperger's Syndrome","Elon Musk kicked off his ""Saturday Night Live"" debut by declaring himself to be the first person with Asperger's syndrome to host the US comedy sketch show.","Agence France-Presse   | Sunday May 09, 2021                                                        
                                                        "
3,"Dogecoin Cryptocurrency Tumbles After Elon Musk Calls It A ""Hustle"" On TV Show","The value of dogecoin dropped sharply in early US hours on Sunday, after Tesla chief and cryptocurrency supporter Elon Musk called it a 'hustle' during his guest-host spot on the ""Saturday Night Live"" comedy sketch TV show.","Reuters   | Sunday May 09, 2021                                                        
                                                        "
4,"COVID-19 Virus Airborne, Can Spread Beyond 6 Feet: Top US Medical Body","The principal mode by which people are infected with SARS-CoV-2, the virus that causes COVID-19, is through very fine aerosolised particles released during respiration, the US Centers for Disease Control and Prevention said in new guidelines.","
															Edited by Ashutosh Tripathi  | Sunday May 09, 2021, New Delhi                                                        
                                                        "
5,"Chinese Rocket Segment Plunges Back To Earth, Crashes Near Maldives","A large segment of a Chinese rocket re-entered the Earth's atmosphere and disintegrated over the Indian Ocean on Sunday, the Chinese space agency said, following fevered speculation over where the 18-tonne object would come down.","Agence France-Presse   | Sunday May 09, 2021, Beijing                                                        
                                                        "
6,Pope Francis Backs Waiving Patents On Coronavirus Vaccines,"Pope Francis offered his support Saturday for waiving coronavirus vaccine patents to boost supply to poorer countries, in a video message to the ""Vax Live"" concert.","Agence France-Presse   | Sunday May 09, 2021, Vatican City                                                        
                                                        "
7,US Navy's 5th Fleet Seizes Weapons Shipment From Stateless Dhow In Arabian Sea,The US Navy's Fifth Fleet said on Saturday that the guided-missile cruiser USS Monterey (CG 61) seized an illicit shipment of weapons from a stateless dhow in international water of the North Arabian Sea on May 6-7.,"Reuters   | Sunday May 09, 2021, Cairo                                                        
                                                        "
8,South Africa Reports 4 Cases Of India Covid Variant,South Africa's health ministry on Saturday said four cases of a coronavirus variant fuelling a devastating surge of Covid-19 in India had been recorded in the country.,"Agence France-Presse   | Sunday May 09, 2021, Johannesburg                                                        
                                                        "
9,"Child, 4, Among 3 Injured In Times Square Shooting As Family Bought Toys","A shooting in New York's bustling Times Square on Saturday injured a four-year-old girl and two women, in the latest incident of gun violence in the city, police said.","Agence France-Presse   | Sunday May 09, 2021, New York                                                        
                                                        "
10,"Barack Obama's Family Dog Bo, A Star Of The White House, Dies","Barack Obama's family dog Bo, who became a popular resident of the White House, died on Saturday from cancer, the former president said, remembering him as ""a constant, gentle presence in our lives.""","Agence France-Presse   | Sunday May 09, 2021, Washington                                                        
                                                        "
11,"Sadiq Khan, London's Feisty Mayor, Wins Second Term","London Mayor Sadiq Khan, who won re-election Saturday, has risen from humble roots to spar with prime ministers and presidents since taking charge of the British capital five years ago.","Agence France-Presse   | Sunday May 09, 2021, London                                                        
                                                        "
12,Dozens Injured In New Jerusalem Clashes,"Dozens more people were injured Saturday as Israeli police fired water cannon and rubber bullets to disperse Palestinian protesters in annexed east Jerusalem, a day after fierce clashes at the city's Al-Aqsa mosque.","Agence France-Presse   | Sunday May 09, 2021, Jerusalem                                                        
                                                        "
13,Bomb Attack On Ex-Maldives President Linked To Islamic Extremists: Police,"Former Maldives president Mohamed Nasheed is conscious after life-saving surgery, his family said on Saturday, as police made two arrests in connection with a blast they said was being treated as a terror attack.","Reuters   | Saturday May 08, 2021, Male                                                        
                                                        "
